,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
603,21-1-D,0.18054816899839313,0.158,32.4217842180783,-85.4156586292736,-17.5,20,20_D,D,-20.0,-15.0,-10793.130274739913,-9258.661010540007,1,-10793.130274739913,-9258.661010540007
604,21-1-E,0.07927774948258795,0.098,32.4217842180783,-85.4156586292736,-22.5,20,20_E,E,-25.0,-20.0,-10793.130274739913,-9258.661010540007,1,-10793.130274739913,-9258.661010540007
605,21-1-F,0.08603218732153053,0.099,32.4217842180783,-85.4156586292736,-27.5,20,20_F,F,-30.0,-25.0,-10793.130274739913,-9258.661010540007,1,-10793.130274739913,-9258.661010540007
606,21-2-A,1.2438612857052698,1.396,32.4217842180783,-85.4156586292736,-2.5,20,20_A,A,-5.0,0.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
607,21-2-B,0.5376107621994959,0.51,32.4217842180783,-85.4156586292736,-7.5,20,20_B,B,-10.0,-5.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
608,21-2-C,0.4818284160921143,0.44,32.4217842180783,-85.4156586292736,-12.5,20,20_C,C,-15.0,-10.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
609,21-2-D,0.41175984535690313,0.339,32.4217842180783,-85.4156586292736,-17.5,20,20_D,D,-20.0,-15.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
610,21-2-E,0.23690968994551756,0.184,32.4217842180783,-85.4156586292736,-22.5,20,20_E,E,-25.0,-20.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
611,21-2-F,0.15633542351694915,0.146,32.4217842180783,-85.4156586292736,-27.5,20,20_F,F,-30.0,-25.0,-10793.130274739913,-9258.661010540007,2,-10293.130274739913,-8758.661010540007
612,21-3-A,0.504524076103152,0.655,32.4217842180783,-85.4156586292736,-2.5,20,20_A,A,-5.0,0.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
